BlockID,long,lat
1.4.221-13,,
1.4.221-13,-71.5644434229286,-16.3248374454811
1.4.221-13,-71.5640846444252,-16.3248424229389
1.4.221-13,-71.5641053703283,-16.3237611170833
1.4.221-13,-71.5644423135288,-16.3237675887582
1.4.221-13,-71.5644434229286,-16.3248374454811
1.4.221-14,,
1.4.221-14,-71.5640465355521,-16.3248385673611
1.4.221-14,-71.5636938664537,-16.324831755058
1.4.221-14,-71.5637124420011,-16.3237801035096
1.4.221-14,-71.5640470324998,-16.3237701328948
1.4.221-14,-71.5640465355521,-16.3248385673611
1.4.221-15,,
1.4.221-15,-71.5636506461749,-16.3248290620043
1.4.221-15,-71.5632820194568,-16.3248288393666
1.4.221-15,-71.5633093300274,-16.3237841943238
1.4.221-15,-71.5636401964574,-16.3237697855886
1.4.221-15,-71.5636506461749,-16.3248290620043
1.4.221-16,,
1.4.221-16,-71.5638375847126,-16.3235733702659
1.4.221-16,-71.5633034681775,-16.3235631639199
1.4.221-16,-71.5633251550446,-16.3216459026485
1.4.221-16,-71.5638563824343,-16.3216644234086
1.4.221-16,-71.5638375847126,-16.3235733702659
1.4.221-17,,
1.4.221-17,-71.5644555457326,-16.3235823312312
1.4.221-17,-71.5639274244729,-16.3235831576367
1.4.221-17,-71.5639627304896,-16.3216701102033
1.4.221-17,-71.5644698892312,-16.321677230303
1.4.221-17,-71.5644555457326,-16.3235823312312
1.4.221-18,,
1.4.221-18,-71.5650897406385,-16.3236024202019
1.4.221-18,-71.5645459899282,-16.3235888081072
1.4.221-18,-71.5645605561793,-16.3216773163175
1.4.221-18,-71.5651015051811,-16.3216730413411
1.4.221-18,-71.5650897406385,-16.3236024202019
1.4.221-19,,
1.4.221-19,-71.5657032417766,-16.3236167213442
1.4.221-19,-71.5651730187777,-16.3236130485989
1.4.221-19,-71.5651670884579,-16.3216726233811
1.4.221-19,-71.5656868032806,-16.3216805379483
1.4.221-19,-71.5657032417766,-16.3236167213442
1.4.221-2,,
1.4.221-2,-71.5649083670393,-16.3271618931829
1.4.221-2,-71.5649272857259,-16.3269872817907
1.4.221-2,-71.5649318458881,-16.3268624645672
1.4.221-2,-71.5649290021084,-16.3266832516277
1.4.221-2,-71.5649353154994,-16.3260997254503
1.4.221-2,-71.5652858704969,-16.3261035186249
1.4.221-2,-71.565280739161,-16.32718753091
1.4.221-2,-71.5649409845072,-16.3271872168987
1.4.221-2,-71.5649083670393,-16.3271618931829
1.4.221-3,,
1.4.221-3,-71.5648856068516,-16.3271802006818
1.4.221-3,-71.5645234975294,-16.3271868622562
1.4.221-3,-71.564535215359,-16.3261155260121
1.4.221-3,-71.5648872973733,-16.3260997769134
1.4.221-3,-71.5648856068516,-16.3271802006818
1.4.221-4,,
1.4.221-4,-71.5644476506183,-16.3271961620489
1.4.221-4,-71.564089538203,-16.3271999551884
1.4.221-4,-71.5640929268651,-16.3261172413148
1.4.221-4,-71.5644312131546,-16.3261118313524
1.4.221-4,-71.5644476506183,-16.3271961620489
1.4.221-5,,
1.4.221-5,-71.5640431134842,-16.3271873554762
1.4.221-5,-71.5636843006592,-16.3271843766189
1.4.221-5,-71.5636889137033,-16.3261177392032
1.4.221-5,-71.5640344796786,-16.3261183922585
1.4.221-5,-71.5640431134842,-16.3271873554762
1.4.221-6,,
1.4.221-6,-71.5632982034035,-16.3261168115201
1.4.221-6,-71.5636360522111,-16.3261130221131
1.4.221-6,-71.5636418944438,-16.3271827396325
1.4.221-6,-71.563316816337,-16.3271850744471
1.4.221-6,-71.5632871507136,-16.3271396501154
1.4.221-6,-71.5632982034035,-16.3261168115201
1.4.221-7,,
1.4.221-7,-71.5638696435931,-16.325968007126
1.4.221-7,-71.5632821170649,-16.3259593712159
1.4.221-7,-71.5633106191066,-16.3248971052794
1.4.221-7,-71.5638923223598,-16.3249047637192
1.4.221-7,-71.5638696435931,-16.325968007126
1.4.221-8,,
1.4.221-8,-71.5645265496238,-16.3248991781932
1.4.221-8,-71.5648821604828,-16.3248947670711
1.4.221-8,-71.564873627715,-16.3259673080767
1.4.221-8,-71.5645184667598,-16.3259605506237
1.4.221-8,-71.5645265496238,-16.3248991781932
1.4.221-9,,
1.4.221-9,-71.5652902393558,-16.3248920151668
1.4.221-9,-71.5652790356474,-16.325962371958
1.4.221-9,-71.5649312315057,-16.3259578138469
1.4.221-9,-71.5649359281382,-16.3248976880721
